I
810	# Converted by FS2XPlane 3.26

2    -34.82344500  -56.00627800     99 260    37       0.000 AR    CARRASCO (MONTEVIDEO) NDB
2    -34.78469400  -55.94341700     27 280    37       0.000 CA    CARRASCO (MONTEVIDEO) NDB
4    -34.84552000  -56.04252700    104 10990  27     233.460 ICAR  SUMU ILS 24
4    -34.84516800  -56.03070100    104 11110  27     179.410 IMVD  SUMU ILS/DME 19
6    -34.82891700  -56.01751400    104 10990  27  300233.460 ---   SUMU ILS 24
6    -34.82463800  -56.03194000    104 11110  27  300179.410 ---   SUMU ILS/DME 19
12   -34.82462500  -56.03194400    104 11110  27       0.000 IMVD  SUMU ILS/DME 19
